industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Fe,Ni,NH3N,HW17,HWsum
4417,202210,2,0,0,0,0,0,0,0,1,1,1,1,211.142,7.097096774,3811.624,50.07681659,1.068959555,0,0,3.262,0,1254.749
4417,202212,3,0,0,0,0,0,0,0,1,1,1,1,94.31842,7.581304348,9037,118.7273959,2.534402003,0,0,6.858424363,0,2793.564
4417,202206,3,0,0,0,0,0,0,0,1,1,1,1,316.199971,7.581304348,14380,188.92331,4.032831781,0,0,10.91337195,0,2811.399
4417,202208,3,0,0,0,0,0,0,0,1,1,1,1,270.114511,7.581304348,12079,158.6929528,3.387522606,0,0,9.167080655,0,3249.914
4417,202207,3,0,0,0,0,0,0,0,1,1,1,1,362.14943,7.581304348,17085,224.4613874,4.791441653,0,0,12.96626981,0,3385.98
4417,202210,3,0,0,0,0,0,0,0,1,1,1,1,295.79176,7.581304348,12003,157.6944708,3.366208613,0,0,9.109402194,0,3426.19
4417,202210,1,0,0,0,0,0,0,1,1,1,0,1,30.896,7.581304348,2344.7707,30.8054132,0.657584548,0,0,1.779510069,0,0.05
4417,202007,1,0,0,0,0,0,0,1,1,1,0,1,788.9108,7.581304348,36848.1745,484.108421,10.33397004,0,0,27.96507887,0,0.083
4417,202001,1,0,0,0,0,0,0,1,1,1,0,1,636.722,7.581304348,26737.867,351.2799955,7.498561876,0,0,20.29209234,0,0.113
4417,202003,1,0,0,0,0,0,0,1,1,1,0,1,563.252,7.581304348,25883.685,340.0578195,7.259008864,0,0,19.64383045,0,0.1423
4417,202010,1,0,0,0,0,0,0,1,1,1,0,1,822.5524,7.581304348,37511.1988,492.8191821,10.5199134,0,0,28.46826599,0,0.151
4417,202206,1,0,0,0,0,0,0,1,1,1,0,1,288.2972,7.581304348,19634.3849,257.9550059,5.506409695,0,0,14.90106714,0,0.177
4417,202109,2,0,0,1,0,0,0,0,1,1,0,0,219.014,6.856666667,6931.295,91.06280903,1.943862779,0,0,2.615,0,651.1651
4417,202211,2,0,0,1,0,0,0,0,1,1,0,0,260.464,7.194666667,8795.904,115.5598956,2.466787287,0,0,15.832,0,941.0068
4417,202212,2,0,0,1,0,0,0,0,1,1,0,0,296.194,7.227741935,8671.959,113.9315159,2.43202725,0,0,6.322,0,1161.032
4417,202003,2,0,0,0,0,0,1,0,1,1,0,1,281.797,7.33483871,5830.873,76.60555127,1.63525243,0,0,32.925,0,763.47
4417,202111,2,0,0,0,0,0,1,0,1,1,0,1,556.755,7.874333333,10139.961,133.2180108,2.843724407,0,0,13.106,0,989.35
