"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HW17"
"279","4","0","0","0","0","0","0","0","0","0","1","0",349.263,7.485,0.129289862,3997.873,21.76703278,0.142137235,0.099551757,0.089362795,0.275838119,0.103497419,1.125945353,10.11
"658","3","0","0","0","0","0","0","0","0","0","1","0",89.58035534,7.485,0.096612186,2987.421,16.26547187,0.106212419,0.07439031,0.066776581,0.206120752,0.077338716,0.841365595,2.4
"349","5","1","0","1","0","0","0","0","0","1","1","0",2591.74784,7.485,2.795193459,86432.3645,470.5942663,3.072948374,2.152267908,1.931986749,5.963506296,2.237571492,24.34247391,20.246
"514","2","0","0","1","0","0","0","0","0","0","0","0",34.69932473,8.1025,0.037423134,1157.19,6.300498455,0.041141824,0.02,0.01,0.06,0.03,0.325906477,2.37
"219","4","0","0","1","0","0","0","0","0","0","1","0",183.23,7.647,0.086400582,2671.66,14.54626267,0.0949861,0.066527488,0.059718506,0.184334437,0.069164257,0.752435899,2.49
"213","4","0","0","1","0","0","0","0","0","0","1","0",215.655,7.012580645,0.184595729,5708.029,31.07823944,0.202938778,0.14213666,0.127589202,0.393832415,0.147770144,1.607587017,12.991
"139","1","0","0","0","0","0","0","0","0","0","1","0",3.7129,6.635666667,0.006338574,196,1.067152064,0.00696843,0.004880631,0.004381107,0.013523259,0.005074072,0.055200675,1.86
"221","4","0","0","1","0","0","0","0","0","0","1","0",657.907,7.569677419,0.974223426,30124.725,164.0186861,1.071030803,0.750141214,0.673365467,2.078492105,0.779872519,8.484210013,9.463
"157","3","0","1","0","0","0","0","0","0","0","1","0",11.313119,7.485,0.005156653,159.452902,0.868165783,0.005669063,0.003970565,0.003564184,0.011001647,0.004127936,0.044907693,17.7
"450","2","1","0","0","0","0","0","0","0","1","1","0",18.55212922,7.485,0.020008424,618.696144,3.368586057,0.021996637,0.015406264,0.013829458,0.042687694,0.016016881,0.174247168,5.41
"599","1","0","1","1","0","0","0","0","0","0","1","0",10.39804297,7.485,0.011214263,346.765,1.888015232,0.01232861,0.008634858,0.007751094,0.023925474,0.008977094,0.097661542,0.07
"74","1","0","1","1","0","0","0","0","0","0","1","0",12.85736237,7.485,0.013866633,428.781,2.334563925,0.015244543,0.010677153,0.009584364,0.029584268,0.011100334,0.120760208,6.7
